PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
83,Independence Community Park,Community,7505 INDEPENDENCE BLVD,BATON ROUGE,70806,1,,,1,1,1,,,,,,,4,7,,2,,11,,,,1,,,,,,,,,,,,,"7505 INDEPENDENCE BLVD
BATON ROUGE 70806
(30.44536, -91.111038)"
172,Tuscarora Street Park,Neighborhood,4200 TUSCARORA ST,BATON ROUGE,70805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4200 TUSCARORA ST
BATON ROUGE 70805
(30.488105, -91.165304)"
70,Gentilly Court Park,Neighborhood,13750 GENTILLY CT,BATON ROUGE,70810,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,"13750 GENTILLY CT
BATON ROUGE 70810
(30.370223, -91.063545)"
131,North Street Park,Neighborhood,4100 NORTH ST,BATON ROUGE,70806,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,"4100 NORTH ST
BATON ROUGE 70806
(30.453766, -91.144829)"
125,Nairn Park,Neighborhood,2800 NAIRN DR,BATON ROUGE,70808,1,,,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,1,,,,"2800 NAIRN DR
BATON ROUGE 70808
(30.422995, -91.146268)"
57,Erich and Lea Sternberg Park,Neighborhood,8715 ROUND OAK DR,BATON ROUGE,70817,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,"8715 ROUND OAK DR
BATON ROUGE 70817
(30.370183, -90.999456)"
174,Webb Memorial Park and Golf Course,Golf Course,1351 COUNTRY CLUB DR,BATON ROUGE,70806,1,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"1351 COUNTRY CLUB DR
BATON ROUGE 70806
(30.436635, -91.141961)"
58,Evangeline Street Park,Neighborhood,4201 EVANGELINE ST,BATON ROUGE,70805,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,"4201 EVANGELINE ST
BATON ROUGE 70805
(30.492945, -91.148342)"
87,James Watson Park,Neighborhood,10555 N PARK AVE,BATON ROUGE,70811,,,,,1,1,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,"10555 N PARK AVE
BATON ROUGE 70811
(30.545374, -91.117628)"
180,Wray Park,Neighborhood,9801 RIDGEWOOD DR,BATON ROUGE,70814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9801 RIDGEWOOD DR
BATON ROUGE 70814"
